02dOI,r1b3R1/1pp4p/1b5k/3p4/4Bn2/p1P2R2/PPP3PP/2K5 w - - 0 28,f3f4 b6e3 c1b1 e3f4,1008,82,62,78,advantage endgame fork master short,https://lichess.org/WuFSwu0p#55,
02ffy,5rk1/1p3rpp/p5p1/2pBq3/2Pb4/1Q4P1/PP3PP1/R4RK1 w - - 10 26,a1e1 d4f2 f1f2 e5e1 g1h2 e1f2,1059,76,88,486,attraction crushing deflection fork long middlegame,https://lichess.org/cCLPbTtZ#51,
02gEE,3rr2k/5ppp/p4Q2/1p1P3b/3BP3/1B3P2/P3K3/6R1 b - - 0 25,g7f6 d4f6,802,113,94,1138,endgame mate mateIn1 oneMove,https://lichess.org/6TB3vOws/black#50,
02juV,3r2k1/1R3p2/p3pP2/1b5p/4PP1p/4BK1P/P7/8 w - - 0 37,e4e5 b5c6 f3e2 c6b7,1017,90,94,846,crushing endgame fork short,https://lichess.org/alNPsERp#73,
02lQd,8/p1B5/1pn3k1/2p4p/3b3K/5P2/P7/3R4 w - - 1 33,d1e1 d4f2 c7g3 f2e1,1169,75,97,4980,crushing endgame fork short,https://lichess.org/ANThSdxV#65,
02msA,1k2r1r1/p2q4/2pb4/8/P1Q4P/1P4P1/2P1N2K/4RR2 w - - 5 35,b3b4 e8e2 e1e2 g8g3,2144,96,78,41,advantage middlegame short,https://lichess.org/JmWnzWi3#69,
02pop,8/1b6/4pr2/1p1p2pk/pPpP4/P1R1Br1P/3R1PK1/8 b - - 1 36,h5h4 e3g5 h4g5 c3f3,892,81,90,430,advantage discoveredAttack endgame short,https://lichess.org/HpwP640G/black#72,
02sI3,k6r/P2r1pp1/2q5/B1b1n3/3p1P2/3P2Pp/2P1Q2P/RR4K1 w - - 0 31,e2e5 c6g2,797,76,97,874,mate mateIn1 middlegame oneMove,https://lichess.org/OPmHnhrh#61,
02xjV,r2qk2r/1pp2ppp/p1Pp2b1/4p1b1/B5P1/3P1N1P/PPP2P2/R2QK2R b KQkq - 0 12,b7b6 h3h4 g5f4 h4h5,1897,74,93,1158,advantage middlegame short,https://lichess.org/G7rktxjN/black#24,Ruy_Lopez Ruy_Lopez_Morphy_Defense
02yoc,4k3/7R/1pp3r1/8/P3r2p/1B3K2/1PP5/8 b - - 2 50,e4b4 b3f7 e8e7 f7g6,917,79,95,2684,advantage discoveredAttack endgame fork master short,https://lichess.org/jnOiltKW/black#100,
02zd6,rn3r1k/ppn2pR1/4q2B/4p3/7Q/8/PP2bP1P/1K1R4 b - - 3 21,e2d1 g7g5 e6g6 g5g6,2277,88,74,54,crushing middlegame short,https://lichess.org/54HXXViW/black#42,
031G5,r1bqk1r1/ppp2p2/1bnp1n1p/4p1pQ/2B1P2N/2PPB2P/PP3PP1/RN3RK1 b q - 1 10,b6e3 h5f7,1149,77,88,3765,attackingF2F7 mate mateIn1 oneMove opening,https://lichess.org/m5wbGsv8/black#20,Italian_Game Italian_Game_Classical_Variation
03C7W,6k1/5pp1/5b1p/2R5/P7/2pK1P1P/3r4/1R6 w - - 2 31,d3e3 f6d4 e3e4 d4c5,1660,78,95,16642,crushing endgame fork short,https://lichess.org/ZLHBPNLy#61,
03FbC,3r2k1/5ppp/p5r1/1p2PP1n/1B1p4/5P2/PP5P/3R1R1K b - - 0 32,g6g5 b4e7 g5f5 e7d8,1550,93,89,27,crushing endgame fork short,https://lichess.org/A03ZkCfd/black#64,
03HYt,3k4/3r4/6R1/4R2p/1p2P2P/pP1bPK2/r4NP1/8 w - - 0 42,e5h5 d3e2 f3g3 e2h5,1688,75,97,1534,advantage endgame master short skewer,https://lichess.org/dOcMLROR#83,
03KHB,3k3r/7p/1pppPp2/p3b3/1R3P2/3B3P/PP4P1/6K1 w - - 0 26,b4b6 e5d4 g1f1 d4b6,842,102,89,995,advantage endgame fork short,https://lichess.org/XSlmX5QQ#51,
03RqM,2kr2nr/p4p2/2p3p1/4B2p/2P1n3/4b3/PP2B1PP/RN3R1K b - - 0 22,e4f2 f1f2 e3f2 e5h8,1392,75,49,432,advantage middlegame short,https://lichess.org/dXsVj6H9/black#44,
03US3,r4rk1/ppp3pp/2n5/1B1p4/3P3n/2P1q1Pb/PP1N3P/R1BQ1R1K w - - 3 19,d2f3 h3g2,1536,85,89,526,mate mateIn1 middlegame oneMove,https://lichess.org/xq04RXNm#37,
03Zg7,b1r3k1/2r2p1p/p1PR2p1/Bp1p4/3b4/4PP2/PP4PP/2R3K1 w - - 0 23,a5c7 d4e3 g1f1 e3c1 d6d8 c8d8,1065,75,95,1243,crushing endgame fork long,https://lichess.org/2FrCalFg#45,
03bmP,2kr3r/pbpp1p2/1p2pq2/2b1N1pp/Q1P5/2P3B1/PP1N1PPP/R3R1K1 w - - 0 17,a4a7 h5h4 d2e4 f6f5 e4c5 b6c5 e5g6 f7g6,2681,100,85,110,advantage middlegame veryLong,https://lichess.org/u7bwVx4w#33,Owen_Defense Owen_Defense_Other_variations
03eIH,3rr1k1/p4pp1/bp5p/2pB4/6n1/2N5/PPP2PPP/R2R2K1 b - - 8 20,a6e2 c3e2 d8d5 d1d5,1597,74,91,1101,crushing middlegame short,https://lichess.org/S17Hkip1/black#40,
03eaM,3Q3k/q3r1p1/2p1r1Bp/p7/Pp6/5P1P/1P4P1/4R2K b - - 1 38,e7e8 d8e8 e6e8 e1e8,1353,76,85,936,endgame mate mateIn2 short xRayAttack,https://lichess.org/cNSvDYve/black#76,
03gHW,2kr2nr/pp1q3p/2nbPp2/8/4Q2p/1P4P1/PBP2PBP/R3K2R b KQ - 0 15,d6b4 e4b4 d7e6 b4e4 e6e4 g2e4,2221,85,90,872,advantage long middlegame,https://lichess.org/vZNfqCJm/black#30,Vant_Kruijs_Opening Vant_Kruijs_Opening_Other_variations
03jAd,2b4r/1p2k3/4pb2/8/p2B4/q1PQ1B2/P2KPP2/6R1 b - - 12 36,a3a2 d2e3 f6d4 d3d4,1522,76,63,196,crushing defensiveMove middlegame short,https://lichess.org/Y7jowfpw/black#72,
03m9L,4r1k1/1pp5/3P2pp/5p2/1R1b4/5qP1/P1Q1B2P/4K2R w - - 1 29,h1f1 d4c3 e1d1 f3f1 e2f1 e8e1,2110,79,60,110,deflection exposedKing fork long mate mateIn3 middlegame pin sacrifice,https://lichess.org/PUp3tKpP#57,
03o4R,8/P2P4/4R3/3r2p1/r2k3p/4pB1P/8/4K3 b - - 2 55,d5d7 e6e4 d4c5 e4a4,1161,76,97,4934,crushing endgame master short skewer,https://lichess.org/kK3IjKbw/black#110,
03oay,2b2r2/5p1k/1q5p/1p5R/2p2QpP/3p2P1/PP4PK/3R4 w - - 4 27,f4e4 f7f5 e4e7 h7g8,2009,78,92,1979,advantage defensiveMove endgame short,https://lichess.org/s6EJBdLw#53,
03qGC,2bk4/5R2/2P5/P3p3/2p2P2/2K5/2P2r2/8 w - - 0 40,c3c4 c8e6 c4d3 e6f7,1697,74,89,134,crushing endgame fork short,https://lichess.org/BfVl9JWD#79,
03wPS,5rk1/p4r2/1pB4p/PPp1P1p1/2p3b1/2Q3P1/5q1P/1R1R3K b - - 0 34,f7f3 c3c4 g8g7 c4g4,2175,74,93,8107,crushing fork middlegame short,https://lichess.org/iy2RW3cY/black#68,
0433A,r3rn2/pp3k2/2pp3B/3b1P1n/7q/3B3P/PR1QN1P1/5R1K w - - 1 25,h6g5 h4h3 h1g1 h3g2,1576,83,100,147,kingsideAttack mate mateIn2 middlegame pin short,https://lichess.org/FpwTE6se#49,
044Gb,6k1/5ppp/p1p5/1pb1P1q1/8/1BP4Q/PP1r1PPP/4R1K1 w - - 0 24,e5e6 c5f2 g1f1 f2e1 e6f7 g8f8,1112,79,94,2780,crushing endgame fork long,https://lichess.org/2ejhJ7KZ#47,
044t1,7k/6p1/8/2B3P1/1P6/5K2/1r4P1/8 b - - 2 40,g7g6 c5d4 h8g8 d4b2,861,95,94,111,crushing endgame fork short,https://lichess.org/70hFYKxZ/black#80,
048Ua,4rrk1/pp3ppp/5q2/2bp4/8/2PQ4/PP1NRPPP/R5K1 w - - 2 16,a1e1 c5f2 e2f2 e8e1,1604,75,94,1083,advantage deflection fork middlegame short,https://lichess.org/1BsJZeGe#31,Caro-Kann_Defense Caro-Kann_Defense_Exchange_Variation
